Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Aloe Vera Variant-65,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–9g/day,Liver stress (overdose),None known,Middle East
Neem Variant-66,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–6g/day,Stomach upset,May interact with blood thinners,Asia
Bitter Leaf Variant-67,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–6g/day,Mild heartburn,None known,Asia
Ginger Variant-68,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–6g/day,Stomach upset,Avoid with diabetes drugs,Middle East
Turmeric Variant-69,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–9g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Aloe Vera Variant-70,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–9g/day,Liver stress (overdose),May interact with blood thinners,South America
Clove Variant-71,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–10g/day,Stomach upset,None known,South America
Aloe Vera Variant-72,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Mild heartburn,None known,South America
Ginger Variant-73,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–7g/day,Mild heartburn,May interact with blood thinners,Middle East
Hibiscus Variant-74,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,Mild heartburn,Avoid with laxatives,India
Moringa Variant-75,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,Dizziness,Avoid with laxatives,Asia
Clove Variant-76,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–6g/day,Mild heartburn,None known,India
Hibiscus Variant-77,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–6g/day,None known,Avoid with diabetes drugs,Middle East
Hibiscus Variant-78,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–10g/day,Mild heartburn,Avoid with laxatives,South America
Aloe Vera Variant-79,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,None known,None known,Asia
Garlic Variant-80,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Clove Variant-81,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–6g/day,Dizziness,Avoid with laxatives,Asia
Aloe Vera Variant-82,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–10g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Turmeric Variant-83,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–10g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Hibiscus Variant-84,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,None known,May interact with blood thinners,Europe
Aloe Vera Variant-85,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–8g/day,Stomach upset,Avoid with diabetes drugs,India
Neem Variant-86,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–7g/day,Mild heartburn,None known,Middle East
Garlic Variant-87,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–9g/day,None known,Enhances anticoagulants,Middle East
Ginger Variant-88,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–7g/day,Stomach upset,None known,South America
Ginger Variant-89,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–10g/day,None known,Avoid with laxatives,South America
Ginger Variant-90,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–6g/day,Dizziness,None known,South America
Clove Variant-91,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–6g/day,Dizziness,May interact with blood thinners,South America
Moringa Variant-92,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,Dizziness,Avoid with diabetes drugs,Europe
Neem Variant-93,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–8g/day,Liver stress (overdose),None known,Africa
Hibiscus Variant-94,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,None known,Avoid with laxatives,India
Bitter Leaf Variant-95,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,Dizziness,Enhances anticoagulants,Europe
Bitter Leaf Variant-96,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–9g/day,Stomach upset,None known,India
Garlic Variant-97,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–9g/day,Dizziness,Enhances anticoagulants,Middle East
Bitter Leaf Variant-98,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Turmeric Variant-99,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Dizziness,May interact with blood thinners,South America
Clove Variant-100,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–9g/day,Mild heartburn,May interact with blood thinners,Europe
Clove Variant-101,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,None known,Avoid with diabetes drugs,Asia
Clove Variant-102,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–8g/day,None known,Avoid with laxatives,Africa
Bitter Leaf Variant-103,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,None known,Enhances anticoagulants,Middle East
Garlic Variant-104,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,Mild heartburn,May interact with blood thinners,Asia
Bitter Leaf Variant-105,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–6g/day,Mild heartburn,None known,Middle East
Neem Variant-106,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,Mild heartburn,May interact with blood thinners,India
Ginger Variant-107,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–6g/day,Stomach upset,Avoid with laxatives,South America
Ginger Variant-108,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–7g/day,Dizziness,Enhances anticoagulants,South America
Neem Variant-109,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–10g/day,Liver stress (overdose),None known,India
Scent Leaf Variant-110,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–9g/day,None known,Avoid with diabetes drugs,Middle East
Bitter Leaf Variant-111,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Scent Leaf Variant-112,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–7g/day,Stomach upset,Avoid with laxatives,Asia
Turmeric Variant-113,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Liver stress (overdose),Avoid with laxatives,Africa
Neem Variant-114,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–9g/day,Dizziness,Avoid with laxatives,Middle East
Aloe Vera Variant-115,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Liver stress (overdose),Avoid with laxatives,India
Neem Variant-116,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Liver stress (overdose),None known,Asia
Aloe Vera Variant-117,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–7g/day,Stomach upset,Enhances anticoagulants,Europe
Turmeric Variant-118,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–9g/day,None known,Avoid with diabetes drugs,Middle East
Turmeric Variant-119,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,None known,May interact with blood thinners,Asia
Aloe Vera Variant-120,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,Mild heartburn,Avoid with laxatives,Asia
Aloe Vera Variant-121,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,None known,May interact with blood thinners,Asia
Ginger Variant-122,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–8g/day,None known,Avoid with laxatives,South America
Scent Leaf Variant-123,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–10g/day,None known,Avoid with laxatives,Asia
Aloe Vera Variant-124,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–6g/day,Dizziness,May interact with blood thinners,Middle East
Clove Variant-125,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–7g/day,Stomach upset,Avoid with diabetes drugs,Africa
Hibiscus Variant-126,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,Dizziness,Enhances anticoagulants,Europe
Clove Variant-127,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Dizziness,May interact with blood thinners,Africa
Garlic Variant-128,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–7g/day,None known,Avoid with laxatives,South America
Bitter Leaf Variant-129,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–6g/day,Stomach upset,Avoid with laxatives,South America
Ginger Variant-130,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,Mild heartburn,Avoid with diabetes drugs,South America
Aloe Vera Variant-131,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Turmeric Variant-132,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–9g/day,Stomach upset,Enhances anticoagulants,India
Ginger Variant-133,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Stomach upset,None known,South America
Neem Variant-134,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–9g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Garlic Variant-135,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–9g/day,Dizziness,None known,Middle East
Hibiscus Variant-136,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–8g/day,Liver stress (overdose),May interact with blood thinners,India
Bitter Leaf Variant-137,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–6g/day,Liver stress (overdose),May interact with blood thinners,Africa
Aloe Vera Variant-138,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–9g/day,Stomach upset,Avoid with laxatives,South America
Neem Variant-139,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–8g/day,None known,Enhances anticoagulants,India
Garlic Variant-140,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–7g/day,Mild heartburn,May interact with blood thinners,Middle East
Garlic Variant-141,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Hibiscus Variant-142,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–10g/day,Stomach upset,Enhances anticoagulants,South America
Garlic Variant-143,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–8g/day,Dizziness,None known,South America
Turmeric Variant-144,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–8g/day,Mild heartburn,May interact with blood thinners,Europe
Aloe Vera Variant-145,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Liver stress (overdose),Avoid with diabetes drugs,Africa
Moringa Variant-146,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–8g/day,Liver stress (overdose),Avoid with laxatives,South America
Garlic Variant-147,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–8g/day,None known,Avoid with diabetes drugs,Middle East
Turmeric Variant-148,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–9g/day,Dizziness,May interact with blood thinners,Africa
Turmeric Variant-149,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,None known,Avoid with diabetes drugs,Europe
Bitter Leaf Variant-150,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Mild heartburn,Avoid with laxatives,Asia
Clove Variant-151,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–9g/day,Liver stress (overdose),Enhances anticoagulants,Asia
